ID,cawp_name,ilga_name,chamber,general_assembly,ilga_all_bills_count,ilga_primary_bills_count,ilga_cosponsored_bills_count,ilga_healthcare_all_count,ilga_healthcare_primary_count,ilga_healthcare_cosponsored_count,ilga_employment_all_count,ilga_employment_primary_count,ilga_employment_cosponsored_count,ilga_education_children_all_count,ilga_education_children_primary_count,ilga_education_children_cosponsored_count
477852k,Carol Ammons,Carol Ammons,House,101,259,46,213,23,0,23,22,2,20,42,9,33
675767k,Celina Villanueva,Celina Villanueva,House,101,154,15,139,17,1,16,19,1,18,29,3,26
645441k,Delia C. Ramirez,Delia C. Ramirez,House,101,186,41,145,30,3,27,16,3,13,35,8,27
680814k,Diane Pappas,Diane Pappas,House,101,178,31,147,16,1,15,10,1,9,20,2,18
250823k,Elizabeth Hernandez,Elizabeth Hernandez,House,101,287,18,269,49,1,48,29,1,28,51,4,47
723683k,Eva Dina Delgado,Eva Dina Delgado,House,101,18,7,11,0,0,0,0,0,0,1,0,1
387344k,Frances Ann Hurley,Frances Ann Hurley,House,101,143,29,114,21,2,19,14,4,10,13,1,12
724500k,Jackie Haas,Jackie Haas,House,101,2,0,2,1,0,1,0,0,0,0,0,0
645455k,Jennifer Gong-Gershowitz,Jennifer Gong-Gershowitz,House,101,178,31,147,25,1,24,15,3,12,20,1,19
645527k,Karina Villa,Karina Villa,House,101,228,24,204,38,6,32,18,0,18,45,6,39
387571k,Kathleen Willis,Kathleen Willis,House,101,201,56,145,34,8,26,16,5,11,34,6,28
561037k,Katie Stuart,Katie Stuart,House,101,203,51,152,26,5,21,13,0,13,59,19,40
343438k,Kelly M. Cassidy,Kelly M. Cassidy,House,101,366,51,315,48,5,43,27,2,25,44,5,39
561038k,LaToya N. Greenwood,LaToya Greenwood,House,101,244,28,216,48,6,42,18,0,18,54,5,49
724218k,Lakesia Collins,Lakesia Collins,House,101,18,3,15,0,0,0,2,0,2,5,2,3
212697k,Linda Chapa LaVia,Linda Chapa LaVia,House,101,71,11,60,9,0,9,3,0,3,13,0,13
561021k,Lindsay A. Parkhurst,Lindsay Parkhurst,House,101,111,21,90,1,0,1,6,0,6,12,3,9
713780k,Lindsey LaPointe,Lindsey LaPointe,House,101,90,17,73,15,5,10,6,2,4,17,4,13
386896k,Mary E. Flowers,Mary E. Flowers,House,101,249,103,146,45,30,15,15,5,10,47,24,23
671347k,Mary Edly-Allen,Mary Edly-Allen,House,101,251,41,210,30,5,25,18,2,16,40,7,33
