State,Year,Law Passed,Law Description,Law Link,Sentiment,Reasoning
Illinois,2025,IL H 3247 - School Code,Prohibits denying public education based on citizenship or immigration status and allows civil lawsuits for violations.,https://www.ncsl.org/immigration/immigration-legislation-database,Pro-Immigration,
California,2025,CA A 49 - Schoolsites: Immigration Enforcement,Prohibits school officials from allowing immigration enforcement officers to enter nonpublic areas of school sites without a valid judicial warrant; school officials not allowed to hande over and share information about student immigrants,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000A49&ciq=ncsl&client_md=fd9f755c2a521699d280a9ddbdb2b2cf&mode=current_text,Pro-Immigration,For immigration since California protect school immigrant students on entering the campus area and giving out the information to ICE
California,2025,CA S 307 - Public Postsecondary Education: Immigration Enforcement,"Requires CSU Trustees and requests UC Regents to implement precautionary measures including systemwide policies addressing course grades, administrative withdrawal, and reenrollment for undocumented students unable to attend courses due to immigration enforcement activity.",https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000S307&ciq=ncsl&client_md=5ccd652d3421c2e28800f440cbd5cb37&mode=current_text,Pro-Immigration,CA public university protects their immigrant students by making sure that they dont loose financial aid and that they are execused from classes if they miss due to immigration enforecement actions
California,2025,CA A 419 - Educational Equity: Immigration Enforcement,"Requires governing boards of local educational agencies to post information related to immigration enforcement in administrative buildings and on websites of the agency and each schoolsite. Also,  The law also prohibits school staff from collecting immigration status information, requires schools to only allow immigration officers into non-public areas of school grounds if they have a valid court-issued warrant, and bars schools from sharing student or family information with immigration enforcement without a judicial warrant.",https://www.ncsl.org/immigration/immigration-legislation-database,Pro-Immigration,Its for immigration since school pass all of the laws to protect immigrants
California,2025,CA S 580 - Attorney General: Immigration Enforcement Policies,Requires the Attorney General to publish model policies relating to interaction with immigration enforcement and guidance for databases operated by state and local agencies to limit availability of information for immigration enforcement purposes.,https://www.ncsl.org/immigration/immigration-legislation-database,Pro-Immigration,
Illinois,2023,IL H 3326 - AN ACT concerning transportation.,Illinois  police can't share information of license plate of the drivers with other states when requested for punishment (abortions or immigrant status),https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2023000H3326&ciq=ncsl&client_md=ea402ef2d9925ac4000956098bc99c9b&mode=current_text,Pro-Immigration,It supports immigration since IL state doesn't aggravate the immigration situation
Arizona,2022,AZ H 2862 - General Appropriations Act,It is a list of Arizona expenses and bills,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2022000H2862&ciq=ncsl&client_md=1359994d14daaa0320188f1fea890f6c&mode=current_text,NULL,
California,2022,CA S 836 - Evidence: Immigration Status,Immigrants should be in the open court unless the judge requiress them to.\,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A1259&ciq=ncsl&client_md=7e37bc8dca773f0239ff99ab0995bb27&mode=current_text,Anti-Immigration,Its against of immigrants because it restricts immigrants to be and participate in the court base on their status
California,2021,CA A 1259 - Criminal Procedure: Motion to Vacate,"Authorizes a person to make a motion to vacate a conviction or sentence based on a prejudicial error damaging to the moving party's ability to meaningfully understand, defend against, or knowingly accept the actual or potential adverse immigration consequences of a conviction or sentence.",https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A1259&ciq=ncsl&client_md=7e37bc8dca773f0239ff99ab0995bb27&mode=current_text,Pro-Immigration,
Illinois,2021,IL S 225 - Identification Card Act and the Vehicle Code,Provides that the Secretary of State shall not provide facial recognition search services or photographs obtained in the process of issuing an identification card or driver's license to any law enforcement agency for the purpose of enforcing federal immigration laws.,https://www.ncsl.org/immigration/immigration-legislation-archived-database,Pro-Immigration,
Illinois,2021,IL S 667 - Immigration Detainers and Non Judicial Warrants,Prohibits law enforcement from inquiring about or investigating citizenship or immigration status of individuals in custody or detained. Prohibits future agreements between ICE and local governments to house individuals for federal civil immigration violations. Provides Attorney General enforcement authority.,https://www.ncsl.org/immigration/immigration-legislation-archived-database,Pro-Immigration,
Illinois,2021,IL H 2790 - Public Defender and Immigration Cases,"Specifies that in counties with population over 3,000,000 the public defender may act as attorney to noncitizens in immigration cases. Representation limited to cases arising in immigration courts within the county's geographical boundaries.",https://www.ncsl.org/immigration/immigration-legislation-archived-database,Pro-Immigration,
California,2020,CA A 3228 - Private Detention Facilities,"Requires private detention facilities to comply with detention standards of care and confinement. Requires the attorney general to review county, local and private locked detention facilities housing noncitizens for civil immigration proceedings.",https://www.ncsl.org/immigration/immigration-legislation-archived-database,Pro-Immigration,
